INFO   | jvm 1    | 2014/02/24 13:05:33 | Test directory: D:\BUWeatherCamera\
INFO   | jvm 1    | 2014/02/24 13:05:33 | Getting images using getImageFiles(resourceRequest)
INFO   | jvm 1    | 2014/02/24 13:05:33 | In getImageFiles for resource BU Weather Camera from time: 07:59:30 AM to 08:00:30 AM.
INFO   | jvm 1    | 2014/02/24 13:05:33 | Initial loop calendar time: 07:00:00 AM
INFO   | jvm 1    | 2014/02/24 13:05:33 | Current loop calendar time: 07:00:00 AM
INFO   | jvm 1    | 2014/02/24 13:05:33 | File Filter was 7
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070007.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070014.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070022.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070029.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070037.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070045.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070052.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070100.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070107.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070115.jpg
